item;p;cv2;demand_type;unit_price
1002;128.07142857142858;0.612206319200648;lumpy;0.00917751913265306
1003;234.0;0.21301775147928997;intermittent;1.0058500000000001
1006;84.65217391304348;4.362715923936709;lumpy;2.061908695652174
1007;1.0;0.0;smooth;0.398125
1009;1.0;0.0;smooth;0.133375
1013;98.5;0.02040816326530612;intermittent;0.005403125
1014;99.1;0.6019935920256319;lumpy;0.015451502976190476
1018;173.5;1.1066471877282686;lumpy;0.14629206730769231
1019;190.36363636363637;0.7375288182030807;lumpy;0.10565443250177092
1020;138.55555555555554;1.2381630473478102;lumpy;5.4347615740740745
1024;218.14285714285714;0.4414814814814814;intermittent;1.9328125
1028;121.41666666666667;1.5893281807372182;lumpy;0.1854576822916667
1030;169.6;0.31944444444444453;intermittent;0.91075
1034;135.44444444444446;0.6757882212968471;lumpy;9.77227356362773
1035;28.5;0.04000000000000001;intermittent;0.4789583333333333
1037;1.0;0.0;smooth;4.2075
1040;1.0;0.0;smooth;5.03875
1044;151.0;0.18367346938775508;intermittent;1.8043749999999998
1051;82.64;0.6111495844875345;lumpy;0.32761141806722693
1055;95.26666666666667;0.44041421457673147;intermittent;0.38792537878787875
1061;243.55555555555554;0.11374999999999998;intermittent;0.7652068494776828
1062;1.0;0.0;smooth;0.5791176470588235
1066;413.3333333333333;0.5066666666666667;lumpy;0.23506944444444444
1070;469.5;0.6049382716049383;lumpy;7.5044531249999995
1074;292.0;0.25514403292181065;intermittent;0.14169642857142858
1075;1.0;0.0;smooth;5.9175
1080;185.66666666666666;0.7066666666666668;lumpy;6.594414737654321
1082;1.0;0.0;smooth;3.54
1084;82.75;1.0030757035275466;lumpy;1.3653343461398166
1085;35.5;0.0;intermittent;11.880624999999998
1086;1.0;0.0;smooth;7.70125
1091;1.0;0.0;smooth;0.01221875
1092;1.0;0.0;smooth;6.78
1093;260.6;0.2629757785467128;intermittent;11.945
1095;312.0;0.4444444444444444;intermittent;0.9746250000000001
1096;28.5;0.0;intermittent;9.362916666666667
1098;124.0;0.0;intermittent;3.889583333333333
1101;132.45454545454547;0.2601183431952663;intermittent;0.45605890151515155
1103;53.608695652173914;0.8409556786703601;lumpy;2.8982431881390434
1105;1.0;0.0;smooth;2.493125
1111;62.2;0.7963679691725257;lumpy;0.9206644613368542
1114;138.0;0.41062166703192343;intermittent;3.872853331043957
1115;46.774193548387096;1.2403505965599007;lumpy;0.4911770656389839
1118;1.0;0.0;smooth;6.1025
1119;583.6666666666666;0.26446280991735543;intermittent;0.8240416666666666
1120;1.0;0.0;smooth;4.42875
1121;40.92156862745098;1.1180723067701708;lumpy;1.017283391886115
1122;530.0;0.16666666666666666;intermittent;0.04609722222222223
1124;109.0;0.4857667584940313;intermittent;0.0065223214285714285
1125;1.0;0.0;smooth;0.08153846153846155
1126;1.0;0.0;smooth;8.61875
1127;177.75;0.3560465508517457;intermittent;0.66276171875
1128;259.2;0.12244897959183675;intermittent;3.0758125
1130;1.0;0.0;smooth;3.6575
1133;74.5;1.9686304216925976;lumpy;0.23761007319875
1134;30.267857142857142;1.4352602455204913;lumpy;1.2841506851529136
1136;1.0;0.0;smooth;2.0225
1137;88.0;0.8185941043083901;lumpy;15.153645833333334
1139;1.0;0.0;smooth;0.8630000000000001
1143;41.23076923076923;0.6446817749281698;lumpy;0.2594539262820513
1145;1.0;0.0;smooth;0.2288125
1153;164.6;1.0552286102308737;lumpy;1.6181420394736843
1155;74.4;0.42914285714285716;intermittent;0.007690241886429636
1159;56.743589743589745;1.4496525326422678;lumpy;0.28607132152017356
1160;39.69230769230769;0.5996575500948679;lumpy;1.196916196739514
1165;1.0;0.0;smooth;0.55875
1166;487.0;0.0;intermittent;0.38531249999999995
1171;1.0;0.0;smooth;1.236875
1175;187.5;0.1111111111111111;intermittent;5.215
1176;1.0;0.0;smooth;0.5415625
1178;1.0;0.0;smooth;2.760909090909091
1181;143.84615384615384;1.4780647553138904;lumpy;0.6269353632478633
1182;1.0;0.0;smooth;0.063625
1186;152.0;0.08;intermittent;6.732916666666667
1187;176.36363636363637;0.28257887517146774;intermittent;1.667573593073593
1188;1.0;0.0;smooth;0.1975
1189;1.0;0.0;smooth;0.068125
1192;35.5;0.0625;intermittent;0.007345833333333333
1195;1.0;0.0;smooth;19.05125
1199;1.0;0.0;smooth;0.820625
1202;305.8333333333333;0.23347107438016532;intermittent;0.4356284722222223
1203;31.614285714285714;1.9417340919820476;lumpy;0.182555808878538
1204;1.0;0.0;smooth;8.200833333333334
1207;109.6;1.1962079862108586;lumpy;5.498195368375053
1208;212.44444444444446;0.35753086419753083;intermittent;0.11257407407407406
1210;91.07692307692308;1.229941716269841;lumpy;0.2805557102625808
1212;1.0;0.0;smooth;5.721875
1213;57.04761904761905;1.128150716836603;lumpy;1.0360145266439909
1214;58.666666666666664;0.12500000000000003;intermittent;2.225625
1216;35.5;0.25;intermittent;2.3166666666666664
1220;289.6666666666667;0.7074829931972789;lumpy;0.2451944444444445
1221;32.10526315789474;1.2573706469171777;lumpy;0.30634353456398195
1228;150.625;0.8961983471074381;lumpy;3.8124713541666666
1229;35.5;0.02040816326530612;intermittent;4.58890625
1235;51.05263157894737;0.725809449302173;lumpy;0.08073084403717627
1236;347.0;0.0;intermittent;1.0683333333333334
1242;129.0;0.17283950617283952;intermittent;1.39025
1248;56.578947368421055;0.6826252561306099;lumpy;0.812460046542631
1250;20.010204081632654;7.247836519620147;lumpy;1.4150280916622249
1256;194.0;0.22222222222222227;intermittent;3.189895833333333
1262;301.3333333333333;0.07999999999999996;intermittent;2.8332083333333333
1263;175.25;1.163265306122449;lumpy;14.2078125
1267;1.0;0.0;smooth;11.40375
1275;101.66666666666667;0.22831632653061226;intermittent;0.04980729166666666
1276;66.27272727272727;0.5113839750260145;lumpy;0.3604971590909091
1277;45.82608695652174;1.6652628002293532;lumpy;0.5948612745654712
1278;72.44444444444444;0.1113754325259516;intermittent;1.6035656966490301
1280;74.4;0.5972222222222222;lumpy;5.77475
1283;107.5;0.26530612244897955;intermittent;1.0268385416666668
1284;102.0;0.1111111111111111;intermittent;32.665
1285;30.65625;1.7078911946974076;lumpy;0.5666759295500629
1288;55.1875;0.5101563042386686;lumpy;0.029335373263888888
